7zip 24.09-3
aalib 1.4rc5-18
abseil-cpp 20240722.0-1
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.2.7-1
alsa-lib 1.2.13-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
amd-ucode 20250109.7673dffd-1
android-sdk-platform-tools 35.0.2-1
android-tools 35.0.2-10
android-udev 20241109-1
ani-cli 4.9-1
aom 3.11.0-1
appstream 1.0.4-1
aquamarine 0.7.1-2
archlinux-keyring 20241203-1
argon2 20190702-6
aria2 1.37.0-1
asciiquarium-transparent-git r24.cfe288e-1
at-spi2-core 2.54.1-1
attr 2.5.2-1
atuin 18.4.0-2
audit 4.0.3-1
augeas 1.14.1-3
auto-cpufreq 2.4.0-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
baobab 47.0-1
base 3-2
base-devel 1-2
bash 5.2.037-1
bash-pipes 1.3.0-9
bat 0.25.0-2
bibata-cursor-theme-bin 2.0.7-1
binutils 2.43_1+r171+g01da089627be-1
bison 3.8.2-8
blas 3.12.1-2
bluetui 0.6-1
bluez 5.79-1
bluez-libs 5.79-1
borg 1.4.0-3
botan 3.6.1-2
botan2 2.19.5-2
bottles 2:51.17-3
bridge-utils 1.7.1-2
brotli 1.1.0-3
btop 1.4.0-4
btrfs-progs 6.12-2
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.4-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.107-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.2-2
cantarell-fonts 1:0.303.1-2
capstone 5.0.3-2
cava 0.10.3-2
cblas 3.12.1-2
cbonsai 1.3.1-3
cdparanoia 10.2-9
clang 19.1.7-1
cliphist 1:0.6.1-1
cmake 3.31.4-1
compiler-rt 19.1.7-1
composefs 1.0.4-1
confuse 3.3-4
containerd 2.0.2-1
coreutils 9.6-2
cowsay 3.8.4-1
cpanminus 1.7047-2
cpio 2.15-2
cppdap 1.58.0-2
cracklib 2.10.3-1
cryptsetup 2.7.5-2
curl 8.11.1-3
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.0-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.112-4
dbus-units 36-4
dconf 0.40.0-3
ddcutil 2.1.4-2
debootstrap 1.0.140-1
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.30-1
devify 121.8d3de96-1
dhcpcd 10.1.0-1
diffutils 3.10-1
dipc 1.0.0-3
distro-info 1.10-2
distro-info-data 0.63-1
dkms 3.1.4-1
dmidecode 3.6-1
dnsmasq 2.90-2
docker 1:27.3.1-1
docker-compose 2.32.4-1
dosfstools 4.2-5
double-conversion 3.3.0-2
dtc 1.7.2-3
duf 0.8.1-3
duktape 2.7.0-7
e2fsprogs 1.47.2-1
easyeffects 7.2.3-2
edk2-ovmf 202411-1
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.2-1
egl-wayland 4:1.1.17-1
egl-x11 1.0.0-1
eglexternalplatform 1.2-2
electron32 32.3.0-1
ell 0.71-1
enchant 2.8.2-1
exempi 2.6.5-1
exfatprogs 1.2.6-1
exiv2 0.28.3-1
expat 2.6.4-1
eza 0.20.15-1
f2fs-tools 1.16.0-3
fakeroot 1.36.2-1
fastfetch 2.34.1-1
fd 10.2.0-1
ffmpeg 2:7.1-6
ffmpegthumbnailer 2.2.3-3
fftw 3.3.10-7
figlet 2.2.5-6
file 5.46-3
filesystem 2024.11.21-1
findutils 4.10.0-2
fish 3.7.1-2
flac 1.4.3-2
flashrom 1.5.1-1
flatpak 1:1.16.0-1
flex 2.6.4-5
fmt 11.1.2-1
fontconfig 2:2.16.0-2
freeglut 3.6.0-1
freetype2 2.13.3-1
fribidi 1.0.16-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
fwupd 2.0.4-1
fwupd-efi 1.7-1
fzf 0.57.0-1
gawk 5.3.1-1
gc 8.2.8-2
gcc 14.2.1+r134+gab884fffe3fc-2
gcc-libs 14.2.1+r134+gab884fffe3fc-2
gcr 3.41.2-2
gcr-4 4.3.0-1
gdbm 1.24-1
gdk-pixbuf2 2.42.12-2
gettext 0.23.1-2
giflib 5.2.2-1
girara 0.4.5-1
git 2.48.1-1
git-delta 0.18.2-3
github-cli 2.65.0-1
gitmux 0.11.2-1
glib-networking 1:2.80.1-1
glib2 2.82.4-2
glib2-devel 2.82.4-2
glibc 2.40+r16+gaa533d58ff-2
glow 2.0.0-1
glslang 15.1.0-1
glu 9.0.3-2
gmp 6.3.0-2
gnome-autoar 0.4.5-1
gnome-desktop-4 1:44.1-1
gnome-desktop-common 1:44.1-1
gnome-firmware 47.0-1
gnome-keyring 1:46.2-1
gnu-free-fonts 20120503-8
gnu-netcat 0.7.1-10
gnulib-l10n 20241231-1
gnupg 2.4.7-1
gnutls 3.8.8-1
gobject-introspection 1.82.0-2
gobject-introspection-runtime 1.82.0-2
gperftools 2.16-1
gpgme 1.24.1-3
gpm 1.20.7.r38.ge82d1a6-6
gptfdisk 1.0.10-1
granite 1:6.2.0-1
graphene 1.10.8-2
graphite 1:1.3.14-4
grep 3.11-1
grim 1.4.1-2
groff 1.23.0-7
grub 2:2.12-3
gsettings-desktop-schemas 47.1-1
gsettings-system-schemas 47.1-1
gsl 2.8-1
gsm 1.0.22-2
gssdp 1.6.3-2
gst-plugin-pipewire 1:1.2.7-1
gst-plugins-bad-libs 1.24.11-2
gst-plugins-base 1.24.11-2
gst-plugins-base-libs 1.24.11-2
gst-plugins-good 1.24.11-2
gstreamer 1.24.11-2
gtest 1.15.2-1
gtk-engine-murrine 0.98.2-4
gtk-layer-shell 0.9.0-1
gtk-update-icon-cache 1:4.16.12-1
gtk-vnc 1.4.0-1
gtk2 2.24.33-5
gtk3 1:3.24.43-4
gtk4 1:4.16.12-1
gtksourceview4 4.8.4-1
gtksourceview5 5.14.2-1
guile 3.0.10-1
gumbo-parser 0.12.1-2
gupnp 1:1.6.8-1
gupnp-igd 1.6.0-1
gvfs 1.56.1-1
gzip 1.13-4
harfbuzz 10.2.0-1
harfbuzz-icu 10.2.0-1
helvum 0.5.1-1
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
hivex 1.3.23-13
http-parser 2.9.4-2
hunspell 1.7.2-2
hwdata 0.391-1
hwloc 2.11.2-1
hyphen 2.8.8-6
hyprcursor 0.1.11-2
hyprevents-git 24.d4397df-1
hyprfreeze-git 1.1.1.r3.g693125b-1
hyprgraphics 0.1.1-5
hypridle 0.1.5-3
hyprland 0.46.2-8
hyprland-qt-support 0.1.0-3
hyprland-qtutils 0.1.3-3
hyprlang 0.6.0-4
hyprlock 0.6.1-2
hyprpicker 0.4.2-2
hyprprop-git 23.f106bbd-1
hyprshot 1.3.0-2
hyprutils 0.4.0-1
hyprwayland-scanner 0.4.4-1
i2c-tools 4.4-2
iana-etc 20241206-1
icoextract 0.1.5-1
icu 75.1-2
imagemagick 7.1.1.43-1
imath 3.1.12-2
imlib2 1.12.3-2
iniparser 4.2.5-1
iproute2 6.13.0-1
iptables 1:1.8.10-2
iputils 20240905-1
iso-codes 4.17.0-1
iwd 3.3-1
jansson 2.14-4
jasper 4.2.4-2
jbig2dec 0.20-1
jbigkit 2.1-8
jfsutils 1.1.15-9
jq 1.7.1-2
json-c 0.18-1
json-glib 1.10.6-1
jsoncpp 1.9.6-3
kbd 2.7.1-1
kcoreaddons 6.10.0-1
kcrash 6.10.0-1
kdbusaddons 6.10.0-1
keepassxc 2.7.9-4
keyb 0.5.0-1
keyutils 1.6.3-3
ki18n 6.10.0-1
kirigami 6.10.0-1
kitty 0.39.0-1
kitty-shell-integration 0.39.0-1
kitty-terminfo 0.39.0-1
kmod 33-3
krb5 1.21.3-1
kvantum 1.1.3-1
kvantum-qt5 1.1.3-1
kwindowsystem 6.10.0-1
kwindowsystem5 5.116.0-1
l-smash 2.14.5-4
ladspa 1.17-5
lame 3.100-5
lapack 3.12.1-2
lazydocker 0.24.1-1
lazygit 0.45.2-1
lazynpm 0.1.4-1
lcms2 2.16-1
leptonica 1.85.0-2
less 1:668-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.11.1-3
lib32-e2fsprogs 1.47.2-1
lib32-expat 2.6.4-1
lib32-gcc-libs 14.2.1+r134+gab884fffe3fc-2
lib32-glibc 2.40+r16+gaa533d58ff-2
lib32-icu 75.1-1
lib32-json-c 0.18-1
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libcap 2.71-1
lib32-libdrm 2.4.124-1
lib32-libelf 0.192-2
lib32-libffi 3.4.6-1
lib32-libgcrypt 1.11.0-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.51-1
lib32-libidn2 2.3.7-1
lib32-libldap 2.6.9-1
lib32-libnghttp2 1.64.0-1
lib32-libnghttp3 1.7.0-1
lib32-libnsl 2.0.1-1
lib32-libpciaccess 0.18.1-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.0-2
lib32-libtirpc 1.3.6-1
lib32-libunistring 1.2-1
lib32-libx11 1.8.10-1
lib32-libxau 1.0.11-2
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.4.38-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.6-1
lib32-libxml2 2.13.5-1
lib32-libxshmfence 1.3.2-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:19.1.7-1
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-3
lib32-mesa 1:24.3.3-2
lib32-ncurses 6.5-1
lib32-nvidia-utils 565.77-1
lib32-openssl 1:3.4.0-1
lib32-pam 1.6.1-1
lib32-spirv-tools 2024.4.rc2-1
lib32-systemd 257.2-1
lib32-util-linux 2.40.4-1
lib32-wayland 1.23.1-1
lib32-xz 5.6.3-1
lib32-zlib 1.3.1-2
lib32-zstd 1.5.6-1
libadwaita 1:1.6.3-1
libaio 0.3.113-3
